Source node name,Source node type,Relationship type,Target node type,Target node name
DB12529,DRUG,TREAT,DISEASE,C0020649
DB12529,DRUG,TREAT,DISEASE,C0026961
DB12529,DRUG,TREAT,DISEASE,C0027497
DB12529,DRUG,TREAT,DISEASE,C0030318
DB12529,DRUG,TREAT,DISEASE,C0036572
DB12529,DRUG,TREAT,DISEASE,C0036974
DB12529,DRUG,TREAT,DISEASE,C0037367
DB12529,DRUG,TREAT,DISEASE,C0042963
DB12529,DRUG,TREAT,DISEASE,C0043251
DB12529,DRUG,TREAT,DISEASE,C0220854
DB12529,DRUG,TREAT,DISEASE,C0231835
DB12529,DRUG,TREAT,DISEASE,C0231837
DB12529,DRUG,TREAT,DISEASE,C0232292
DB12529,DRUG,TREAT,DISEASE,C0233407
DB12529,DRUG,TREAT,DISEASE,C0268030
DB12529,DRUG,TREAT,DISEASE,C0278061
DB12529,DRUG,TREAT,DISEASE,C0728899
DB02831,DRUG,TREAT,DISEASE,C0085682
DB04160,DRUG,TREAT,DISEASE,C0017181
DB04160,DRUG,TREAT,DISEASE,C0155626
DB00339,DRUG,TREAT,DISEASE,C0022346
DB00339,DRUG,TREAT,DISEASE,C0041296
DB00339,DRUG,TREAT,DISEASE,C0151332
DB00165,DRUG,TREAT,DISEASE,C0002871
DB00165,DRUG,TREAT,DISEASE,C0002896
DB00165,DRUG,TREAT,DISEASE,C0003123
DB00165,DRUG,TREAT,DISEASE,C0011603
DB00165,DRUG,TREAT,DISEASE,C0019880
DB00165,DRUG,TREAT,DISEASE,C0020500
DB00165,DRUG,TREAT,DISEASE,C0025521
DB00165,DRUG,TREAT,DISEASE,C0027497
DB00165,DRUG,TREAT,DISEASE,C0027813
DB00165,DRUG,TREAT,DISEASE,C0036572
DB00165,DRUG,TREAT,DISEASE,C0042963
DB00165,DRUG,TREAT,DISEASE,C0221264
DB00165,DRUG,TREAT,DISEASE,C0235031
DB00165,DRUG,TREAT,DISEASE,C0936215
DB00165,DRUG,TREAT,DISEASE,C1527330
DB00152,DRUG,TREAT,DISEASE,C0003123
DB00152,DRUG,TREAT,DISEASE,C0004134
DB00152,DRUG,TREAT,DISEASE,C0005122
DB00152,DRUG,TREAT,DISEASE,C0007222
DB00152,DRUG,TREAT,DISEASE,C0009421
DB00152,DRUG,TREAT,DISEASE,C0013604
DB00152,DRUG,TREAT,DISEASE,C0015967
DB00152,DRUG,TREAT,DISEASE,C0018801
DB00152,DRUG,TREAT,DISEASE,C0020550
DB00152,DRUG,TREAT,DISEASE,C0021831
DB00152,DRUG,TREAT,DISEASE,C0023895
DB00152,DRUG,TREAT,DISEASE,C0024523
DB00152,DRUG,TREAT,DISEASE,C0027497
DB00152,DRUG,TREAT,DISEASE,C0027813
DB00152,DRUG,TREAT,DISEASE,C0028738
DB00152,DRUG,TREAT,DISEASE,C0029089
DB00152,DRUG,TREAT,DISEASE,C0031117
DB00152,DRUG,TREAT,DISEASE,C0039841
